Word	Count
overhead	9
shot:	3
a	518
`79	1
cobra	3
winds	1
alongside	1
the	1249
missouri	2
river	4
past	7
swaying	2
loosestrife	1
vibrant	2
sugar	1
maples	1
and	587
oily	1
self-pump	1
gas	2
stations	2
hazy	1
sun	7
glints	1
off	33
hood	3
of	392
which	17
like	91
its	20
descendant	1
milano	41
is	261
orange	1
teal	1
we	91
move	7
down	81
in	258
on	188
fresh-faced	1
girl	9
18	1
car	5
stereo	6
she	125
pushes	7
her	154
fine	4
feathered	1
hair	2
from	105
mouth	6
sings	3
along	7
out-of-tune	1
-	192
do	66
mod	1
attire	1
laughs	14
meredith	7
too	18
dances	6
with	140
abandon	2
seat	5
she's	9
lively	1
goofball	1
it's	68
apparent	1
where	38
peter	27
quill	205
received	1
much	8
his	183
personality	1
pulls	15
beside	28
this	113
dairy	1
queen	2
desolate	1
area	9
mysterious	4
man	27
helps	4
steep	1
hillside	3
into	84
woods	1
"brandy"	4
continues	6
to	480
play	4
lot	1
behind	34
them	96
giggles	3
way	24
my	97
lily	3
are	111
you	360
taking	5
me	99
shows	6
strange	2
sprout	1
nestled	1
amongst	3
trees	7
few	5
inches	3
tall	3
decidedly	1
alien	8
nature	1
delicate	1
limbs	2
twist	2
turn	8
complex	1
pattern	1
oh	21
beautiful	8
looks	97
proudly	1
at	204
perpetually	1
excited	1
glint	1
eye	10
air	6
self-	1
empowerment	1
guru	1
he	275
an	68
intoxicating	1
presence	1
i	374
was	71
afraid	5
it	261
wouldn't	3
take	15
soil	1
but	108
rooted	1
quickly	8
nods	32
toward	41
sky	7
between	11
branches	3
above	13
soon	4
will	28
be	76
everywhere	4
all	97
across	9
universe	13
fulfilling	1
life's	3
one	88
true	6
purpose	7
what	123
expansion	4
takes	12
arms	8
	186
gazes	4
eyes	22
grows	6
almost	10
teary	2
i'm	52
not	83
sure	9
you're	45
talking	9
about	46
say	19
heart	3
yours	2
can't	17
believe	6
fell	1
love	19
spaceman	1
they	111
kiss	1
passion	1
"do	1
do!"	1
looking	11
glass	5
as	203
source	2
becomes	9
score	1
tilt	2
plant	6
twitches	1
twists	2
push	11
see	46
made	12
only	19
cellulose	1
leaves	6
bright	3
cosmic	17
light	50
than	12
you'd	6
imagine	2
colorful	6
bacteria	1
overcomes	1
us	32
distorts	1
transforms	1
something	30
epic	1
super:	4
34	1
years	10
later	11
artificial	1
golden	7
planet	44
interlocking	1
orbs	1
revolves	3
around	73
blue	8
patch	4
sovereign	27
m49	1
5iol339p21+h9lni31	1
i/e	38
power	13
station	7
day	19
old	14
mattel	1
electronics	2
football	1
game	4
converted	1
tracker	1
red	8
dot	1
approaches	6
showtime	1
a-holes	1
it'll	2
here	35
any	10
minute	5
loss	1
grand	1
open-air	1
dozens	7
batteries	21
couched	1
conductor	1
towers	1
encircling	2
gamora	133
rocket	165
wear	3
flying	23
rigs	3
that	118
rifle	5
don't	47
know	56
thought	13
your	77
thing	21
sword	5
we've	3
been	11
hired	4
stop	16
interdimensional	1
beast	11
feeding	2
those	15
batteries'	1
energy	9
going	18
look	26
stupid	10
being	11
inconsistent	1
louder	1
larger	4
crack:	1
seems	10
fighting	2
through	67
drax	122
why	29
aren't	6
wearing	2
rocket's	7
aero-rigs	2
hurts	3
have	66
sensitive	3
nipples	2
who	47
working	4
pair	5
speakers	4
wired	1
quill's	13
walkman	7
hard	14
points	8
him	182
what's	18
doing	14
if	50
finish	1
can	45
listen	8
tunes	1
while	9
work	4
how	32
priority	1
blame	1
he's	40
loves	3
music	5
so	62
agree	3
hardly	3
important	3
right	28
now	29
okayyyy	1
winks	3
no	63
really	18
some	33
more	28
clearly	1
winking	1
damn	9
using	2
left	7
hears	10
small	15
growl	1
sees	44
baby	26
groot	131
newly	1
unpotted	1
nine	1
or	15
angrily	4
throwing	1
aside	1
foraging	1
orloni	8
then	44
up	128
explaining:	1
am	36
were	18
funny	5
even	16
crack	3
swirls	4
gigantic	1
hundred-foot-long	1
lovecraftian	1
monstrosity	1
breaks	2
mouse	1
kaleidoscopic	1
deadly	1
splatter	2
matter	7
pulsing	2
maw	1
well	20
that's	52
intense	2
jet-pack	1
out	103
blast	9
creature	4
hollers	5
charging	2
twin	1
blades	2
turns	32
mask	1
focus	2
trots	2
fiddles	1
two	20
wires	4
spark	1
powers	3
"mr	1
sky"	1
by	58
electric	1
orchestra	1
plays	7
credits	4
start	4
in-focus	1
foreground	1
guardians	20
get	43
pummeled	1
out-of-focus	1
background	2
groot's	4
dancing	8
arrhythmic	1
many	9
"dance	1
moves"	1
nonsensical	1
mixtures	1
trembling	5
making	7
weird	5
faces	3
joyous	2
struts	1
comes	14
rolling	1
stands	12
worried	6
tentacle	6
flies	24
off-screen	1
knocking	2
out-of-	1
frame	1
blissfully	1
unaware	1
giant	17
slammed	1
numerous	1
times	4
hurt	7
stops	20
waves	2
hi	2
aero-jets	1
back	96
fray	2
falls	17
directly	5
freezes	1
stares	22
moment	12
suspicious	2
stays	3
frozen	1
commences	2
dance	4
insect	1
suddenly	8
forgotten	2
getting	5
bug	2
all-	2
chases	1
hops	4
grabs	17
starts	23
eating	3
spots	5
spit	3
coughs	3
crookedly	1
away	40
wing	3
mulched	1
jets	1
battle	6
muttering:	1
disgusting	5
else	6
furious	7
follow	6
line	5
sight	3
grazing	2
screams	7
war	6
cry	6
attacks	2
terrified	4
darts	6
anger	2
panic	2
dragged	3
let	10
go	33
underneath	2
raging	1
crying	2
bouncing	1
camera	3
none	4
happened	2
again	32
pan	3
realize	4
has	26
traveled	1
entire	19
arrived	1
started	1
when	41
flung	1
system	3
smashing	6
angry	5
ruined	2
fun	2
picks	3
piece	12
beats	1
end	11
glares	6
ferocious	1
without	12
effect	2
beast's	2
hide	1
thick	4
pierced	2
outside	9
must	5
cut	4
inside	17
huh	3
doesn't	23
make	18
opens	6
enormous	10
screeching	2
leaps	9
instantly	7
swallowed	1
said	12
skin	7
--	41
sense	1
tried	5
tell	14
same	9
thickness	1
slashes	1
goo	1
stomach	1
avail	2
reloads	1
pistol	1
thinking	4
there's	14
neck	7
jet	2
high	11
over	50
repeatedly	1
hey	10
sea	6
monkey	2
gamora's	4
jammed	1
tosses	5
snaps	5
open	15
screeches	1
