Word	Count
we	124
hear	9
audience	8
laughter	2
give	11
it	194
up	102
for	83
my	106
man	15
mr	4
kumail	220
nanjiani	3
hello	4
i	485
grew	1
in	200
pakistan	17
and	342
people	25
are	108
always	9
asking	2
me	122
what	113
was	120
that	196
like	118
really	61
not	102
different	10
from	44
here	45
mean	19
played	3
cricket	5
which	10
is	194
just	129
a	388
spicier	1
version	1
of	197
baseball	2
prayed	2
lot	19
well	24
five	8
times	3
day	13
marry	5
someone	14
our	13
parents	22
find	10
us	20
arranged	4
marriage	8
you	575
know	109
probably	8
got	28
episodes	2
the	522
a-team	1
little	14
bit	12
later	5
by	19
episode	1
two	10
but	81
other	20
than	12
exactly	5
same	6
credit	1
sequence	1
plays	4
drives	7
an	36
uber	5
around	15
chicago	9
with	104
various	3
passengers	2
backseat	2
there's	20
no	87
bad	17
crowds	1
dude	5
only	14
comedians	3
complain	2
about	71
crowd	10
all	55
time	31
yeah	72
that's	59
when	37
they're	29
so	126
ninety	1
percent	3
will	20
watch	9
notes	4
tonight	14
if	28
both	5
each	12
think	42
would	26
be	99
helpful	2
your	77
to	421
add	1
more	15
"fucks"	1
into	24
fuck's	1
funny	12
word	7
soft	2
on	142
top	4
it's	117
hard	5
end	8
mary	8
walks	24
off	21
stage	16
sits	18
couch	10
next	19
truly	4
horrible	4
hey	42
great	21
he	90
didn't	17
even	9
crack	2
smile	7
thought	18
gonna	41
puke	2
who	21
bob	10
dalavan	7
who's	5
dalaban	1
-	22
works	3
montreal	9
comedy	16
festival	4
fuckin'	2
doof	1
don't	92
want	49
get	55
noticed	3
move	5
la	1
hang	2
out	99
elijah	1
wood	1
shit	10
bathroom	7
one's	1
dodd	6
rushes	2
might	6
have	102
been	22
doing	27
cocaine	2
recreationally	1
true	2
cokehead	1
jumps	2
now	41
before	10
bring	5
guy	6
guys	27
jell-o	2
shot	1
tuesday	1
whooo	1
happens	4
after	10
eight	3
shots	2
urinate	1
over	20
ourselves	2
okay	50
i'm	131
going	38
comic	1
this	107
chris	27
slaps	1
his	50
own	4
face	6
confidence	1
poise	1
mister	1
jones	1
he's	16
serial	1
killer	1
fucked	2
inspirational	1
speaker	1
daniel	1
lewis	1
except	2
sucks	2
bought	2
laser	1
printer	1
printed	1
six	2
lasers	1
far	2
saunters	1
backstage	4
dalavan's	2
could	29
do	88
ten	4
minutes	4
put	13
chairs	1
deal	2
c'mon	1
i'll	21
double	1
back	37
there	43
making	4
week's	1
schedule	1
cool	5
wings	1
bed	19
girlfriend	4
trying	6
mansplain	1
her	123
one	39
rock	1
orbiting	1
star	2
galaxy	1
billion	3
stars	1
universe	2
full	5
galaxies	1
forgot	2
birthday	1
gives	5
cosmically	1
reacting	1
honestly	2
being	21
super	4
selfish	4
you're	74
right	58
puts	11
recorder	1
stool	1
presses	1
record	1
starts	9
set	9
heard	10
new	17
drug	3
cocktail	2
called	14
cheese	11
saw	10
these	20
news	6
reports	2
looked	4
mixture	1
tylenol	1
pm	1
heroin	4
heroin's	1
heavy	1
lifting	1
very	33
powerful	1
already	7
looks	25
see	39
laughing	6
house	4
o.s	1
woman	8
"woo-hoos!"	1
at	92
hair	3
she	90
table	6
few	9
friends	4
smiles	3
crowded	1
bar	4
scene	2
show	23
gave	7
showcase	2
or	28
audition	4
anything	23
too	10
easy	3
wanted	13
struggle	3
story	2
able	6
tell	26
talk	21
shows	4
instead	4
how	37
succeeding	1
effortlessly	1
did	52
say	40
sure	10
said	25
those	9
performed	1
hate	4
actually	20
loud	3
music	3
hi	11
um	7
name	13
perform	3
niceties	1
way	11
yelled	2
threw	2
shouldn't	3
heckle	7
rude	2
woo-hooed	2
supportive	1
common	4
misconception	2
yelling	1
comedian	2
considered	1
heckling	3
doesn't	14
negative	2
"you're	1
amazing	4
bed,"	1
it'd	1
accurate	1
wow	6
goodbye	5
jessie	4
away	4
go	53
scared	2
friend	7
what's	15
emily	96
writes	1
emily's	20
urdu	7
napkin	2
something	29
picks	4
whoa	1
does	19
work	11
i've	25
had	30
some	18
minor	1
success	1
bullshit	4
still	11
came	5
we're	23
grad	3
students	1
u	1
c	1
studying	2
school	12
study	1
psychology	1
therapist	4
oh	54
sit	12
ask	6
"how	1
make	15
feel?"	1
eventually	4
field	2
group	3
convicted	1
domestic	1
violence	1
jesus	1
cheers	2
becoming	2
getting	10
masters	1
we'll	9
start	4
then	23
rest	6
walk	10
typical	1
bachelor	1
pad	2
boy	3
milk	2
crates	1
furniture	1
mess	2
everywhere	3
art	1
walls	2
sitting	3
watching	8
tv	3
roommate	2
try	5
conversation	5
matter	3
what-	1
engage	1
let's	4
avoiding	1
eye	4
contact	2
closes	2
bedroom	6
door	15
behind	4
him	40
good	52
kumail's	13
inflatable	2
air	7
mattress	5
clothes	3
movie	14
should	29
stuff	7
down	19
safe	1
area	2
cleaned	1
earlier	3
year	5
points	1
corner	2
room	19
covered	1
dirty	1
take	15
shoes	6
strict	4
rules	3
crawls	2
onto	3
totally	11
inflated	1
flat	1
actual	3
mattresses	3
bigoted	1
towards	5
based	1
comfort	1
items	4
remote	1
turns	11
night	13
living	8
dead	4
playing	1
haven't	9
ever	14
seen	7
basically	2
rising	1
they	75
flirtatiously	1
laugh	3
lean	1
kiss	2
hits	5
siri	5
button	3
iphone	3
