Word	Count
too	21
much	13
happens	3
man	53
performs	3
engenders	1
so	51
more	22
than	6
he	171
can	73
or	25
should	13
have	106
to	471
bear	2
that's	66
how	20
finds	11
that	182
anything	12
-	76
william	2
faulkner	1
his	147
check	14
book	2
we	88
see	40
last	26
several	2
expense	2
entries	2
mom's	13
new	26
apt	2
deposit	4
piano	54
delivery	3
in-piano	1
humidity	1
control	3
system	2
during	12
the	877
morning	5
rush	1
hour	4
a	575
crowd	9
of	289
businessmen	2
waits	10
on	168
corner	3
cross	4
street	20
walter	328
is	169
among	13
them	47
dressed	4
in	289
short-sleeve	5
business	7
shirt	5
and	242
tie	2
with	111
briefcase	29
hand	5
nothing	8
then	88
walter's	114
head	7
explodes	1
up	105
toward	5
clouds	2
propelled	1
skyward	1
were	18
contents	2
ground	2
comes	13
floating	3
down	30
slow	2
motion	1
juan	1
valdez	1
this	146
outside	11
other	13
high-rise	1
professional	1
building	10
windows	1
bishop	1
desmond	1
tutu	1
detritus	1
from	77
mind	7
such	2
as	48
manute	1
bol	1
beastie	1
sits	16
at	127
midtown	1
starbucks	7
he's	137
got	37
laptop	8
out	101
middle	7
phone	18
call	13
you	316
know	77
didn't	21
really	45
provide	2
detail	1
about	47
your	72
occupation	2
most	13
people	27
put	12
theirs	1
their	25
eharmony	16
page	7
don't	69
care	6
like	82
must	4
can't	26
i	339
just	119
say	19
i'm	99
employed	1
something	25
sure	18
my	85
work's	1
not	85
interesting	3
women	3
um	10
men	3
what	89
do	67
practical	6
asset	5
manager	3
for	137
corporation	2
okay	48
when	36
you're	41
working	16
mostly	3
guess	9
commute	1
work	42
it's	153
an	58
and--	3
no	47
worries	1
i'll	9
submit	3
information	3
back	63
afternoon	1
possible	1
matchups	1
exciting	2
huh	1
it	233
todd	23
yeah	89
hey	61
leave	10
wink	6
someone	12
if	25
they	56
looking	34
screen	3
sort	3
pretty	28
girl	6
who	26
takes	16
bus	7
text	3
beside	15
her	34
photo	20
reads	5
cheryl	17
m	1
indicate	1
interest	2
profile	8
all	49
uploaded	1
minute	3
cool	20
two	31
minutes	5
but	103
little	43
light	7
me	56
saying	8
been	58
there	106
done	8
column	1
part	8
client	1
has	97
section	1
where	55
list	3
accomplishments	4
travels	2
etc	2
forgot	1
oh	11
beef	1
think	35
add	6
would	12
make	9
blank	1
give	6
ring	3
will	15
are	102
why	24
sound	4
stressed	2
taking	10
personal	4
had	23
some	67
stuff	8
past	14
couple	5
months	1
kind	8
life	42
get	45
awkward	5
moments	8
pass	14
unsure	2
following	4
through	33
heavy	4
conversation	6
stranger	1
thanks	17
asking	2
was	68
name	8
mahar	10
be	63
counselor	1
while	28
us	10
here	53
let's	7
hope	5
you'll	3
special	3
lady	4
later	11
today	5
sounds	7
good	28
finish	5
looks	56
computer	3
picture	30
time-life	4
lobby	9
stands	7
go	45
6th	6
waiting	9
black	13
white	11
orleans	2
jazz	2
funeral	2
procession	1
passes	18
front	13
him	80
sense	3
everyone	5
instruments	1
lively	1
waving	1
umbrellas	1
title	2
appears	3
secret	1
mitty	32
way	31
elevators	1
what's	23
roy	3
acquired	4
our	24
company	18
whole	6
did	31
wasn't	4
expecting	3
thrown	2
elevator	10
guys	16
suits	2
gary	7
vice	3
president	3
acquisitions	4
right	31
	23
said	18
supposed	5
acquiring	2
companies	2
promising	2
probably	8
own	3
guy	42
ted	21
hendricks	6
shake	1
hands	12
mannheim	3
going	55
doing	8
managing	2
acquisition	1
identifying	2
overlap	2
reducing	2
staff	2
find	19
redundancy	2
focus	8
i've	26
further	6
wow	4
play	5
important	4
role	1
totally	4
photographers	1
moment	31
sorry	9
getting	23
into	29
song	5
listens	3
muzak	2
referred	1
maneater	1
one	55
could	8
manage	2
film	3
negatives	1
arri-	1
talk	11
specific	2
time	38
set	6
aside	1
conference	2
employees	9
former	3
board	5
start	7
evaluations	1
now	44
thank	7
mean	9
forward	3
over	37
door's	1
closing	1
doors	4
almost	6
closed	1
come	21
by	66
sometime	1
week	10
awesome	5
my...um	1
close	7
ted's	4
coming	7
gary's	1
office	19
walks	15
long	14
hallway	3
department	1
floor	15
walls	3
hugely	1
blown	2
magazine	6
photographs	7
moon	1
landings	1
small	18
compared	1
familiar	4
division	7
works	2
fifty	4
seated	2
around	37
open	7
plan	2
cubicles	1
view	8
arrived	1
desk	10
wrapped	4
gift	7
note	6
reading	2
heard	6
rumbling's	1
life's	12
wanted	16
batch	2
look	13
inside	5
unwrapped	1
leather	1
wallet	21
its	10
embossed	1
inscription	2
s.o	3
great	17
letter	1
finishes	2
neg	6
12	7
best	11
ever	8
landmark	1
absolute	2
quintessence	17
rest	2
sucks	1
sean	59
order	2
negative	19
box	8
marked	1
o'connell	22
there's	38
co-worker	1
roll	10
12th	2
cut	2
missing	3
hernando-	1
means	8
goes	14
well	30
asshole	1
storage	3
room	20
separated	2
greater	2
wide	3
glass	5
window	14
wall	5
noticed	5
supervisor	8
side	7
how's	2
issue	8
shaping	1
email	7
photographer	11
yes	22
cover	11
shot	4
does	13
starts	19
walk	6
away	14
concerned	3
cafeteria	4
large	3
massive	5
serving	1
essentially	1
wallpaper	1
particularly	1
images	2
physical	1
human	4
immensity	1
tiny	1
terms	2
also	10
k2	2
mountain	3
summit	11
photograph	13
tim	8
2-6	3
sent	4
commission	1
took	14
this--	1
gestures	2
taken	11
above	7
summitted	1
shipping	4
showed	1
seems	11
